Sample Name,Type,Date,Time,DateTime,PFBA Results,PFMPA Results,3-3 FTCA Results,PFPeA Results,PFMBA Results,4:2FTS Results,NFDHA Results,PFHxA Results,PFBS Results,HFPO-DA Results,PFEESA Results,5-3 FTCA Results,PFHpA Results,PFPeS Results,ADONA Results,6:2FTS Results,PFOA Results,PFHxS Results,PFNA Results,PFHpS Results,7-3 FTCA Results,8:2FTS Results,PFDA Results,PFOS Results,NMeFOSAA Results,PFUnA Results,NEtFOSAA Results,9Cl-PF3ONS Results,PFNS Results,PFDoA Results,PFDS Results,PFTrDA Results,11Cl-PF3OUdS Results,PFTeDA Results,PFDoS Results,PFOSA Results,NMeFOSE Results,NMeFOSA Results,NEtFOSE Results,NEtFOSA Results
SE13_1_11102025,Stream,7/14/2025,5:00:00 PM,7/14/25 5:00 PM,3.797,0.015,0.372,4.556,0.008,0.043,0.064,5.032,1.77,0.164,0.013,0.558,2.374,0.077,0.008,0.148,5.368,1.013,1.524,0.085,0.422,0.073,0.474,3.804,0.125,0.19,0.241,0.011,0.024,0.154,0.04,0.049,0.015,0.065,0.027,1.598,0.599,0.278,0.612,0.249
SE13_19_11102025,Stream,7/16/2025,5:00:00 AM,7/16/25 5:00 AM,2.497,0.016,0.639,2.827,0.007,0.078,0.081,3.382,1.395,0.068,0.01,0.206,1.843,0.147,0,0.151,3.366,0.865,0.902,0.059,0.76,0.011,0.131,2.069,0.197,0.014,0.188,0.022,0.006,0.043,0.006,0.056,0.011,0.057,0.032,0.65,0.394,0.234,0.437,0.223
SE13_P1_11102025,Precip,7/14/2025,11:59:00 PM,7/14/25 11:59 PM,0.903,0.661,0.296,0.474,0.011,0.029,0.065,0.682,0.057,0.39,0.003,0.498,0.432,0.034,0.004,0.071,0.704,0.269,0.223,0.004,0.272,0.009,0.085,0.393,0.116,0.068,0.081,0.002,0.007,0.185,0.01,0.224,0.006,0.137,0.011,0.142,0.203,0.11,0.23,0.097
BF1010_11172025,Stream,10/10/2025,8:39 AM,10/10/25 8:39 AM,2.352,0.008,0.112,3.744,0.007,0.09,0.048,4.27,1.565,0.015,0.008,0.482,1.664,0.196,0.002,2.57,3.641,1.057,0.736,0.069,0.199,0.046,0.067,1.841,0.113,0.063,0.141,0.015,0.027,0.04,0.019,0.044,0.001,0.101,0,0.184,0.192,0.175,0.296,0.192
S1_1_11172025,Stream,10/11/2025,8:53 AM,10/11/25 8:53 AM,2.544,0.01,0.017,4.335,0.008,0.149,0.068,4.88,1.628,0.068,0.006,0.798,2.118,0.157,0.003,2.309,4.664,1.081,1.047,0.093,0.142,0.02,0.095,2.09,0.1,0.019,0.131,0.01,0.015,0.095,0.01,0.045,0.013,0.036,0.002,0.321,0.193,0.164,0.206,0.172
SE15_1_11102025,Stream,10/12/2025,12:15 PM,10/12/25 12:15 PM,2.365,0.013,0.147,3.867,0.006,0.093,0.079,4.373,1.29,0.034,0.001,0.455,1.932,0.116,0,2.253,3.841,0.966,1.026,0.031,0.38,0.058,0.047,1.852,0.113,0.016,0.113,0.004,0.012,0.115,0.008,0.023,0.022,0.053,0,0.256,0.203,0.123,0.211,0.164
SE15_3_11102025,Stream,10/12/2025,6:15 PM,10/12/25 6:15 PM,2.823,0.027,0.251,4.103,0.004,0.084,0.076,4.931,1.571,0.091,0.016,1.065,2.107,0.136,0.01,2.838,4.071,1.057,0.954,0.056,0.358,0.029,0.098,2.316,0.212,0.03,0.248,0.006,0.005,0.032,0.015,0.017,0.005,0.065,0.017,0.186,0.451,0.371,0.558,0.286
SE15_5_11102025,Stream,10/13/2025,12:15 AM,10/13/25 12:15 AM,5.754,0.022,0.653,4.725,0,0.071,0.071,6.706,1.698,0.032,0.007,1.102,2.199,0.166,0.015,2.837,4.307,1.514,1.446,0.046,1.069,0.017,0.348,2.999,0.12,0.109,0.281,0.036,0.089,0.142,0.034,0.01,0.011,0.031,0.016,0.234,0.359,0.203,0.391,0.174
SE15_7_11102025,Stream,10/13/2025,6:15 AM,10/13/25 6:15 AM,5.139,0.022,0.326,5.036,0.011,0.078,0.053,5.947,2.755,0.102,0.007,1.292,2.131,0.149,0.003,0.82,6.213,1.512,1.557,0.097,0.694,0.009,0.256,3.647,0.117,0.119,0.255,0.011,0.061,0.111,0.038,0.078,0.01,0.027,0.014,0.45,0.273,0.138,0.248,0.126
SE15_9_11102025,Stream,10/13/2025,12:15 PM,10/13/25 12:15 PM,3.205,0.01,0.124,3.264,0.006,0.067,0.071,3.192,1.725,0.137,0.002,0.596,1.484,0.183,0.034,0.877,3.774,1.008,1.477,0.088,1.447,0.018,0.169,2.497,0.146,0.047,0.176,0.025,0.024,0.061,0.03,0.037,0.004,0.033,0.002,0.311,0.411,0.244,0.343,0.212
SE15_11_11102025,Stream,10/13/2025,6:15 PM,10/13/25 6:15 PM,1.875,0.006,0.391,1.754,0.009,0.041,0.053,2.136,1.117,0.062,0.003,0.651,1.046,0.108,0.001,0.747,2.471,0.799,1.226,0.023,0.752,0.015,0.097,1.659,0.066,0.033,0.096,0.008,0.029,0.077,0.01,0.038,0.012,0.066,0,0.25,0.225,0.131,0.218,0.137
SE15_13_11102025,Stream,10/14/2025,12:15 AM,10/14/25 12:15 AM,1.746,0.019,0.147,1.737,0.005,0.072,0.067,2.16,0.894,0.044,0.005,0.162,1.082,0.084,0,0.779,2.537,0.728,2.119,0.036,0.294,0.024,0.089,1.693,0.131,0.05,0.191,0.016,0.021,0.117,0.017,0.057,0.015,0.096,0.028,0.183,0.426,0.258,0.442,0.341
SE15_15_11102025,Stream,10/14/2025,6:15 AM,10/14/25 6:15 AM,1.669,0.023,0.062,1.807,0.001,0.078,0.061,1.965,1.02,0.032,0.012,0.254,0.967,0.059,0.004,0.878,2.881,0.75,1.031,0.071,0.37,0.018,0.036,1.642,0.099,0.04,0.14,0.021,0.012,0.066,0,0.043,0.005,0.022,0.007,0.217,0.289,0.171,0.304,0.18
SE15_17_11102025,Stream,10/14/2025,12:15 PM,10/14/25 12:15 PM,1.836,0.011,0.111,2.328,0.014,0.056,0.081,2.491,1.137,0.042,0.001,0.554,1.097,0.123,0.005,1.078,2.872,0.819,0.95,0.053,0.77,0.029,0.067,1.716,0.079,0.041,0.147,0.011,0.005,0.109,0.009,0.08,0.009,0.02,0.022,0.229,0.234,0.138,0.214,0.206
SE15_19_11102025,Stream,10/14/2025,6:15 PM,10/14/25 6:15 PM,1.732,0.021,0.137,2.306,0.007,0.07,0.075,2.897,1.161,0.062,0.009,0.216,1.21,0.05,0.002,1.103,2.723,0.829,0.751,0.062,0.368,0.041,0.106,1.601,0.123,0.019,0.112,0.017,0.029,0.057,0.018,0.011,0.011,0.068,0.011,0.268,0.28,0.176,0.26,0.274
SE15_21_11172025,Stream,10/15/2025,12:15 AM,10/15/25 12:15 AM,1.851,0.007,0.027,2.44,0.011,0.062,0.075,3.007,1.443,0.061,0.001,0.175,1.274,0.115,0.009,1.049,3.027,0.75,1.097,0,0.366,0.015,0.087,1.889,0.079,0.013,0.114,0.008,0.029,0.082,0.044,0.142,0.005,0.03,0,0.317,0.196,0.121,0.324,0.134
SE15_23_11172025,Stream,10/15/2025,6:15 AM,10/15/25 6:15 AM,2.905,0.037,0,3.483,0.009,0.135,0.047,3.982,1.905,0.054,0.003,0.506,1.818,0.113,0.005,1.654,4.7,1.135,1.381,0.065,0.152,0.05,0.13,2.183,0.196,0.034,0.241,0.017,0.027,0.179,0.01,0.078,0.006,0.053,0.004,0.659,0.378,0.295,0.407,0.296
SE15_P1_11102025,Precip,10/12/2025,11:59 PM,10/12/25 11:59 PM,7.95,0.025,0.095,8.184,0.021,0.037,0.102,37.785,0.089,0.092,0.006,7.189,2.995,0.051,0.002,0.236,1.141,0.419,1.53,0.013,1.297,0.042,0.174,0.463,0.067,0.07,0.091,0.023,0.002,0.022,0.024,0.036,0.01,0.055,0.008,0.069,0.255,0.144,0.214,0.084
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
